N_ménage;Nordre;Coef_individu;Milieu;Sexe;Age;Etat_matrimonial;Niveau_scolaire;Type_activité;Secteur_activité;Statut_professionnel
821;7;759;1;2;39;3;4;2;5;1
4787;4;616,81831;2;2;16;1;1;2;5;1
192;3;853;1;2;19;1;1;2;5;1
6008;3;588,18475;2;2;20;1;0;2;5;1
4380;3;735,552283;2;1;20;1;0;2;5;1
5782;4;611,71214;2;2;20;1;4;2;5;1
5837;4;670,530615;2;2;20;1;4;2;5;1
3199;3;711;1;2;21;1;1;2;5;1
2832;2;838;1;1;21;1;0;2;5;1
664;3;760;1;1;22;1;0;2;5;1
3920;3;532;1;2;23;1;0;2;5;1
1019;3;1145;1;1;23;1;0;2;5;1
1442;2;974;1;1;26;1;0;2;5;1
2761;3;1009;1;1;26;1;1;2;5;1
5656;5;918;2;1;27;1;1;2;5;1
4117;5;1149;1;1;28;2;0;2;5;1
2188;3;864;1;2;28;1;1;2;5;1
1891;4;830;1;1;28;1;0;2;5;1
2685;4;881;1;1;28;1;1;2;5;1
4380;11;1078;2;1;29;2;0;2;5;1
351;5;959;1;2;30;3;0;2;5;1
778;3;802;1;2;32;1;0;2;5;1
4021;3;705;1;1;32;1;0;2;5;1
6575;3;795;2;1;32;1;1;2;5;1
1889;2;674;1;2;34;1;0;2;5;1
514;2;1065;1;1;35;1;1;2;5;1
534;2;726;1;2;40;4;0;2;5;1
4038;3;1026;1;2;40;1;0;2;5;1
2372;2;1161;1;2;26;2;1;2;5;1
2168;2;759;1;2;30;2;1;2;5;1
5674;2;1093;2;2;42;2;1;2;5;1
5854;2;1054;2;2;49;2;0;2;5;1
403;2;251;1;2;54;2;0;2;5;1
124;1;474;1;2;35;3;0;2;5;1
5885;1;497;2;2;37;4;0;2;5;1
2863;1;645;1;2;42;3;0;2;5;1
408;1;283;1;2;43;3;0;2;5;1
1442;1;800;1;2;51;4;0;2;5;1
1367;10;649;1;1;32;2;0;2;5;2
1989;5;1328;1;1;35;1;0;2;5;5
2107;4;929;1;1;26;1;3;1;5;1
141;6;579;1;1;30;1;3;1;5;1
1607;5;595;1;2;11;1;0;1;5;1
2324;7;828;1;2;12;1;3;1;5;1
1622;5;684;1;2;14;1;0;1;5;1
2480;5;939;1;2;14;1;2;1;5;1
3566;6;826;1;2;15;1;1;1;5;1
3026;8;975;1;2;16;1;1;1;5;1
153;4;917;1;2;16;1;2;1;5;1
2097;5;718;1;2;17;1;3;1;5;1
3393;4;739;1;2;17;1;3;1;5;1
1530;6;680;1;2;17;1;4;1;5;1
1913;7;815;1;2;18;1;0;1;5;1
1821;6;1712;1;2;18;1;1;1;5;1
3732;5;862;1;2;19;1;2;1;5;1
2448;4;717;1;2;20;1;0;1;5;1
1646;4;1022;1;1;20;1;3;1;5;1
2326;9;897;1;2;20;1;3;1;5;1
2700;9;656;1;2;21;1;0;1;5;1
6784;4;799,93126;2;2;21;1;0;1;5;1
1465;3;749;1;2;21;1;1;1;5;1
1515;3;479;1;2;21;1;2;1;5;1
2326;8;897;1;2;21;1;3;1;5;1
1537;4;1391;1;2;22;1;2;1;5;1
1871;6;410;1;2;22;1;2;1;5;1
2580;6;815;1;2;22;1;4;1;5;1
2830;6;772;1;2;23;1;2;1;5;1
2695;4;656;1;2;23;1;1;1;5;1
1138;8;800;1;2;24;1;2;1;5;1
191;4;1377;1;2;25;1;1;1;5;1
